name,hash
PJMD_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,e91d40525d341fefb092e4a4091b47e5a2232c8cb75117d3c018ab02cebf21bf
PJMD_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,97d72d36d360cf914ca6b6e5a1cdb65904b51fa8d39cc5e948d0fcbcd098122c
PJMD_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,11037df549afb0a02f936522455966f13d2ed1a4168b36922093fe8f64079fbc
PJME_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_bin_feature_lcoe_q_3_weights_mw_cluster_feature_cf_n_clusters_2_method_agg_,6ddc060dd2e4aee763ac5297853827fe2d6fa2bdf881669270dd5372e0b72e6b
PJME_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_125000_filter_feature_lcoe_max_40_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,2f58b02c9fbb5a1a634db92125887b05e16ffa98724eeab20f9440acb207f4aa
PJME_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,02c8a583792c536692373c946e9588d67f17683521d5db999bded9d7df6bcd96
PJME_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,0169fb10759b21e0ee78ba0f8b1976b9d3d4a6ec6c24bab4086c6c7b7382235d
PJME_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,536a71b32a11053e1de549fdc98e77b98fcdba37e5a00816aa10a61fdf86038d
PJME_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,f4b23ef8b6325d6cbe10a25bca3157514453fef1ce95b91a8125f846faee8f7c
PJMW_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_bin_feature_lcoe_q_5_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,e4b539f1de60151a98af3f1b27d5a8253fe9e496704f2b38f03232695264c497
PJMW_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_250000_filter_feature_lcoe_max_35_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,2e390be41f08522143ab29e402310d5ab659881368d5c361bf8f5b222591d5b2
PJMW_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,b47fbd6ee0b1e1a6f5d89186642ab6018f9823174faa9f0285d3527162297402
PJMW_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,56fa301fe22daa7fde78f452aa10c2f72bd5276873e782b0e8925fc5dd4cc4ad
